outcome,mmwr_week,age_group,vaccination_status,vaccinated_with_outcome,vaccinated_population,unvaccinated_with_outcome,unvaccinated_population
case,202219,all_ages,vaccinated,161573,86166605.7,72352,24118218.05
case,202219,all_ages,vax with updated booster,,,72352,24118218.05
case,202220,12-17,vaccinated,9498,6537333,8093,4458382
case,202220,12-17,vax with updated booster,,,8093,4458382
case,202220,18-29,vaccinated,29111,14860279,20782,8267912
case,202220,18-29,vax with updated booster,,,20782,8267912
case,202220,30-49,vaccinated,58478,27144118,30452,9328175
case,202220,30-49,vax with updated booster,,,30452,9328175
case,202220,5-11,vaccinated,6834,3568245,11061,9320356
case,202220,5-11,vax with updated booster,,,,
case,202220,50-64,vaccinated,43409,22643134,16567,4508938.4
case,202220,50-64,vax with updated booster,,,16567,4508938.4
case,202220,65-79,vaccinated,26569,16746629.7,8289,1361586.05
case,202220,65-79,vax with updated booster,,,8289,1361586.05
case,202220,80+,vaccinated,9189,4863080.8,3136,582030.1
case,202220,80+,vax with updated booster,,,3136,582030.1
case,202220,all_ages,vaccinated,166756,86257241.5,79226,24048641.55
case,202220,all_ages,vax with updated booster,,,79226,24048641.55
case,202221,12-17,vaccinated,8757,6546363,6900,4445917
case,202221,12-17,vax with updated booster,,,6900,4445917
case,202221,18-29,vaccinated,28210,14876454,20755,8243342
case,202221,18-29,vax with updated booster,,,20755,8243342
case,202221,30-49,vaccinated,55882,27160640,30002,9303383.85
case,202221,30-49,vax with updated booster,,,30002,9303383.85
case,202221,5-11,vaccinated,5869,3582862,9318,9299148
case,202221,5-11,vax with updated booster,,,,
case,202221,50-64,vaccinated,41496,22662219,16740,4496152.4
case,202221,50-64,vax with updated booster,,,16740,4496152.4
case,202221,65-79,vaccinated,26242,16769105.3,8381,1356727.05
case,202221,65-79,vax with updated booster,,,8381,1356727.05
case,202221,80+,vaccinated,8869,4870701.8,3130,578791.1
case,202221,80+,vax with updated booster,,,3130,578791.1
case,202221,all_ages,vaccinated,160699,86339120.1,79008,23978396.4
case,202221,all_ages,vax with updated booster,,,79008,23978396.4
case,202222,12-17,vaccinated,6199,6555600,5094,4433968
case,202222,12-17,vax with updated booster,,,5094,4433968
case,202222,18-29,vaccinated,26958,14892403,21054,8222830
case,202222,18-29,vax with updated booster,,,21054,8222830
case,202222,30-49,vaccinated,51584,27177211,29965,9283808.85
case,202222,30-49,vax with updated booster,,,29965,9283808.85
case,202222,5-11,vaccinated,4305,3598145,6817,9279465
case,202222,5-11,vax with updated booster,,,,
case,202222,50-64,vaccinated,39138,22682798,16493,4486419.4
case,202222,50-64,vax with updated booster,,,16493,4486419.4
case,202222,65-79,vaccinated,25504,16790977.3,8950,1353607.05
case,202222,65-79,vax with updated booster,,,8950,1353607.05
case,202222,80+,vaccinated,8804,4878203.8,3087,576699.1
case,202222,80+,vax with updated booster,,,3087,576699.1
case,202222,all_ages,vaccinated,151988,86421593.1,79549,23923364.4
case,202222,all_ages,vax with updated booster,,,79549,23923364.4
case,202223,12-17,vaccinated,5084,6565708,4351,4421622
case,202223,12-17,vax with updated booster,,,4351,4421622
case,202223,18-29,vaccinated,24867,14907755,21585,8199478
case,202223,18-29,vax with updated booster,,,21585,8199478
case,202223,30-49,vaccinated,48100,27193398,30190,9261956.85
case,202223,30-49,vax with updated booster,,,30190,9261956.85
case,202223,5-11,vaccinated,3634,3616144,6200,9259428
case,202223,5-11,vax with updated booster,,,,
case,202223,50-64,vaccinated,37306,22703689,16772,4475611.4
case,202223,50-64,vax with updated booster,,,16772,4475611.4
case,202223,65-79,vaccinated,24996,16813280.3,9018,1350131.05
case,202223,65-79,vax with updated booster,,,9018,1350131.05
case,202223,80+,vaccinated,8374,4886009.8,3134,574331.1
case,202223,80+,vax with updated booster,,,3134,574331.1
case,202223,all_ages,vaccinated,143643,86504132.1,80699,23861508.4
case,202223,all_ages,vax with updated booster,,,80699,23861508.4
case,202224,12-17,vaccinated,4593,6574745,4353,4410519
case,202224,12-17,vax with updated booster,,,4353,4410519
case,202224,18-29,vaccinated,23547,14921253,21882,8177095
case,202224,18-29,vax with updated booster,,,21882,8177095
case,202224,30-49,vaccinated,46886,27207345,30211,9241077.85
case,202224,30-49,vax with updated booster,,,30211,9241077.85
case,202224,5-11,vaccinated,3215,3630902,6554,9241275
case,202224,5-11,vax with updated booster,,,,
case,202224,50-64,vaccinated,36491,22719640,16754,4465589.4
case,202224,50-64,vax with updated booster,,,16754,4465589.4
case,202224,65-79,vaccinated,25161,16827412.3,9333,1347083.05
case,202224,65-79,vax with updated booster,,,9333,1347083.05
case,202224,80+,vaccinated,8666,4890816.8,3135,572311.55
case,202224,80+,vax with updated booster,,,3135,572311.55
case,202224,all_ages,vaccinated,140751,86566467.1,81315,23803156.85
case,202224,all_ages,vax with updated booster,,,81315,23803156.85
case,202225,12-17,vaccinated,4795,6584478,4705,4399708
case,202225,12-17,vax with updated booster,,,4705,4399708
case,202225,18-29,vaccinated,25607,14936705,24289,8155994
case,202225,18-29,vax with updated booster,,,24289,8155994
case,202225,30-49,vaccinated,50949,27222625,33717,9221452.85
case,202225,30-49,vax with updated booster,,,33717,9221452.85
case,202225,5-11,vaccinated,3252,3646863,7126,9222235
case,202225,5-11,vax with updated booster,,,,
case,202225,50-64,vaccinated,39511,22735871,18568,4456523.4
case,202225,50-64,vax with updated booster,,,18568,4456523.4
case,202225,65-79,vaccinated,27089,16841572.3,10243,1344298.05
case,202225,65-79,vax with updated booster,,,10243,1344298.05
case,202225,80+,vaccinated,9281,4895676.8,3503,570625.55
case,202225,80+,vax with updated booster,,,3503,570625.55
case,202225,all_ages,vaccinated,152437,86632450.1,90320,23748893.85
case,202225,all_ages,vax with updated booster,,,90320,23748893.85
case,202226,12-17,vaccinated,5015,6593199,5217,4388936
case,202226,12-17,vax with updated booster,,,5217,4388936
case,202226,18-29,vaccinated,28352,14951467,27535,8134659
case,202226,18-29,vax with updated booster,,,27535,8134659
case,202226,30-49,vaccinated,54541,27237351,37871,9201678.85
case,202226,30-49,vax with updated booster,,,37871,9201678.85
case,202226,5-11,vaccinated,3175,3662309,8053,9200421
case,202226,5-11,vax with updated booster,,,,
case,202226,50-64,vaccinated,43330,22750329,20388,4447495.4
case,202226,50-64,vax with updated booster,,,20388,4447495.4
case,202226,65-79,vaccinated,30542,16853292.3,11466,1341868.05
case,202226,65-79,vax with updated booster,,,11466,1341868.05
case,202226,80+,vaccinated,10275,4899713.8,3890,569167.55
case,202226,80+,vax with updated booster,,,3890,569167.55
case,202226,all_ages,vaccinated,167040,86692153.1,101150,23694868.85
case,202226,all_ages,vax with updated booster,,,101150,23694868.85
case,202227,12-17,vaccinated,4742,6601955,5745,4380068
case,202227,12-17,vax with updated booster,,,5745,4380068
case,202227,18-29,vaccinated,29039,14964949,29676,8117143
case,202227,18-29,vax with updated booster,,,29676,8117143
case,202227,30-49,vaccinated,56323,27250525,40360,9185556.85
case,202227,30-49,vax with updated booster,,,40360,9185556.85
case,202227,5-11,vaccinated,3058,3677316,8603,9182166
case,202227,5-11,vax with updated booster,,,,
case,202227,50-64,vaccinated,44868,22763191,22103,4439580.4
case,202227,50-64,vax with updated booster,,,22103,4439580.4
case,202227,65-79,vaccinated,31841,16863389.3,12413,1339774.05
case,202227,65-79,vax with updated booster,,,12413,1339774.05
case,202227,80+,vaccinated,10829,4903279.8,4217,568112.55
case,202227,80+,vax with updated booster,,,4217,568112.55
case,202227,all_ages,vaccinated,172900,86745334.1,108769,23650166.85
case,202227,all_ages,vax with updated booster,,,108769,23650166.85
case,202228,12-17,vaccinated,5270,6610596,6728,4369360
case,202228,12-17,vax with updated booster,,,6728,4369360
case,202228,18-29,vaccinated,30081,14978601,32820,8094835
case,202228,18-29,vax with updated booster,,,32820,8094835
case,202228,30-49,vaccinated,58519,27263231,45050,9164795.85
case,202228,30-49,vax with updated booster,,,45050,9164795.85
case,202228,5-11,vaccinated,3415,3692887,10344,9159696
case,202228,5-11,vax with updated booster,,,,
case,202228,50-64,vaccinated,48276,22774652,24406,4429147.4
case,202228,50-64,vax with updated booster,,,24406,4429147.4
case,202228,65-79,vaccinated,34542,16872229.3,13583,1336688.05
case,202228,65-79,vax with updated booster,,,13583,1336688.05
case,202228,80+,vaccinated,12006,4906420.8,4567,566682.55
case,202228,80+,vax with updated booster,,,4567,566682.55
case,202228,all_ages,vaccinated,183424,86795134.1,120426,23592148.85
case,202228,all_ages,vax with updated booster,,,120426,23592148.85
case,202229,12-17,vaccinated,5411,6617677,7186,4357935
case,202229,12-17,vax with updated booster,,,7186,4357935
case,202229,18-29,vaccinated,29504,14990639,33484,8072167
case,202229,18-29,vax with updated booster,,,33484,8072167
case,202229,30-49,vaccinated,58713,27274607,46918,9142455.85
case,202229,30-49,vax with updated booster,,,46918,9142455.85
case,202229,5-11,vaccinated,3591,3705877,11422,9132441
case,202229,5-11,vax with updated booster,,,,
case,202229,50-64,vaccinated,48731,22784986,25707,4416459.4
case,202229,50-64,vax with updated booster,,,25707,4416459.4
case,202229,65-79,vaccinated,35403,16879389.3,14077,1332385.05
case,202229,65-79,vax with updated booster,,,14077,1332385.05
case,202229,80+,vaccinated,12335,4908771.8,4999,564900.55
case,202229,80+,vax with updated booster,,,4999,564900.55
case,202229,all_ages,vaccinated,184686,86838393.1,125185,23528367.85
case,202229,all_ages,vax with updated booster,,,125185,23528367.85
case,202230,12-17,vaccinated,5051,6625273,6973,4346120
case,202230,12-17,vax with updated booster,,,6973,4346120
case,202230,18-29,vaccinated,27494,15004241,31495,8051265
case,202230,18-29,vax with updated booster,,,31495,8051265
case,202230,30-49,vaccinated,54168,27287565,44329,9121735.85
case,202230,30-49,vax with updated booster,,,44329,9121735.85
case,202230,5-11,vaccinated,3345,3720518,11346,9104587
case,202230,5-11,vax with updated booster,,,,
case,202230,50-64,vaccinated,45965,22799905,24331,4404957.4
case,202230,50-64,vax with updated booster,,,24331,4404957.4
case,202230,65-79,vaccinated,33480,16890700.3,13606,1328551.05
case,202230,65-79,vax with updated booster,,,13606,1328551.05
case,202230,80+,vaccinated,11820,4912279.8,4883,563182.55
case,202230,80+,vax with updated booster,,,4883,563182.55
case,202230,all_ages,vaccinated,172927,86894691.1,118644,23469691.85
case,202230,all_ages,vax with updated booster,,,118644,23469691.85
case,202231,0.5-4,vaccinated,30,11880,14058,5644859
case,202231,0.5-4,vax with updated booster,,,,
case,202231,12-17,vaccinated,4923,6632759,6969,4333927
case,202231,12-17,vax with updated booster,,,6969,4333927
case,202231,18-29,vaccinated,25335,15017723,29125,8030002
case,202231,18-29,vax with updated booster,,,29125,8030002
case,202231,30-49,vaccinated,49177,27300542,41027,9101927.85
case,202231,30-49,vax with updated booster,,,41027,9101927.85
case,202231,5-11,vaccinated,3278,3737799,11469,9076412
case,202231,5-11,vax with updated booster,,,,
case,202231,50-64,vaccinated,41596,22817923,22348,4395431.4
case,202231,50-64,vax with updated booster,,,22348,4395431.4
case,202231,65-79,vaccinated,30364,16905939.3,12547,1325669.05
case,202231,65-79,vax with updated booster,,,12547,1325669.05
case,202231,80+,vaccinated,10941,4916581.8,4419,561970.55
case,202231,80+,vax with updated booster,,,4419,561970.55
case,202231,all_ages,vaccinated,157413,86958709.1,109466,23415000.85
case,202231,all_ages,vax with updated booster,,,109466,23415000.85
case,202232,0.5-4,vaccinated,62,37993,13353,5598297
case,202232,0.5-4,vax with updated booster,,,,
case,202232,12-17,vaccinated,5441,6639745,9241,4321976.65
case,202232,12-17,vax with updated booster,,,9241,4321976.65
case,202232,18-29,vaccinated,22032,15030446,25899,8008515
case,202232,18-29,vax with updated booster,,,25899,8008515
case,202232,30-49,vaccinated,43769,27312212,36514,9082658.85
case,202232,30-49,vax with updated booster,,,36514,9082658.85
case,202232,5-11,vaccinated,3372,3755375,14916,9049040
case,202232,5-11,vax with updated booster,,,,
case,202232,50-64,vaccinated,36771,22832771,20071,4386947.4
case,202232,50-64,vax with updated booster,,,20071,4386947.4
case,202232,65-79,vaccinated,27462,16919303.3,11298,1323354.05
case,202232,65-79,vax with updated booster,,,11298,1323354.05
case,202232,80+,vaccinated,10412,4920554.8,4109,560945.55
case,202232,80+,vax with updated booster,,,4109,560945.55
case,202232,all_ages,vaccinated,140446,87015287.1,97891,23362420.85
case,202232,all_ages,vax with updated booster,,,97891,23362420.85
case,202233,0.5-4,vaccinated,81,58487,12396,5555207
case,202233,0.5-4,vax with updated booster,,,,
case,202233,12-17,vaccinated,6682,6647447,13313,4312156.65
case,202233,12-17,vax with updated booster,,,13313,4312156.65
case,202233,18-29,vaccinated,19240,15043731,22982,7987945
case,202233,18-29,vax with updated booster,,,22982,7987945
case,202233,30-49,vaccinated,39250,27323690,33213,9064486.85
case,202233,30-49,vax with updated booster,,,33213,9064486.85
case,202233,5-11,vaccinated,3677,3773323,19337,9025313
case,202233,5-11,vax with updated booster,,,,
case,202233,50-64,vaccinated,33469,22844491,17978,4379291.4
case,202233,50-64,vax with updated booster,,,17978,4379291.4
case,202233,65-79,vaccinated,25159,16928441.3,10378,1321374.05
case,202233,65-79,vax with updated booster,,,10378,1321374.05
case,202233,80+,vaccinated,9686,4923370.8,3803,559965.55
case,202233,80+,vax with updated booster,,,3803,559965.55
case,202233,all_ages,vaccinated,126804,87063724.1,88354,23313062.85
case,202233,all_ages,vax with updated booster,,,88354,23313062.85
case,202234,0.5-4,vaccinated,85,78909,10856,5515484
case,202234,0.5-4,vax with updated booster,,,,
case,202234,12-17,vaccinated,7462,6654989,15188,4303491.65
case,202234,12-17,vax with updated booster,,,15188,4303491.65
case,202234,18-29,vaccinated,19459,15057381,22490,7969091
case,202234,18-29,vax with updated booster,,,22490,7969091
case,202234,30-49,vaccinated,37335,27335265,31475,9048152.85
case,202234,30-49,vax with updated booster,,,31475,9048152.85
case,202234,5-11,vaccinated,3484,3792268,17255,9005133
case,202234,5-11,vax with updated booster,,,,
case,202234,50-64,vaccinated,31917,22854431,16949,4372581.4
case,202234,50-64,vax with updated booster,,,16949,4372581.4
case,202234,65-79,vaccinated,24135,16935265.3,9616,1319594.05
case,202234,65-79,vax with updated booster,,,9616,1319594.05
case,202234,80+,vaccinated,9592,4925543.8,3417,559190.55
case,202234,80+,vax with updated booster,,,3417,559190.55
case,202234,all_ages,vaccinated,122438,87107886.1,83947,23268609.85
case,202234,all_ages,vax with updated booster,,,83947,23268609.85
case,202235,0.5-4,vaccinated,96,96350,8762,5479384
case,202235,0.5-4,vax with updated booster,,,,
case,202235,12-17,vaccinated,6489,6661957,12099,4296165.65
case,202235,12-17,vax with updated booster,,,12099,4296165.65
case,202235,18-29,vaccinated,18304,15070391,19999,7951566
case,202235,18-29,vax with updated booster,,,19999,7951566
case,202235,30-49,vaccinated,32510,27345905,26699,9033103.85
case,202235,30-49,vax with updated booster,,,26699,9033103.85
case,202235,5-11,vaccinated,2731,3810310,11745,8988319
case,202235,5-11,vax with updated booster,,,,
case,202235,50-64,vaccinated,28232,22862850,14573,4366733.4
case,202235,50-64,vax with updated booster,,,14573,4366733.4
case,202235,65-79,vaccinated,22321,16940978.3,8607,1318202.05
case,202235,65-79,vax with updated booster,,,8607,1318202.05
case,202235,80+,vaccinated,8734,4927457.8,3163,558560.55
case,202235,80+,vax with updated booster,,,3163,558560.55
case,202235,all_ages,vaccinated,110101,87147582.1,73041,23228165.85
case,202235,all_ages,vax with updated booster,,,73041,23228165.85
case,202236,0.5-4,vaccinated,109,111449,7139,5453933
case,202236,0.5-4,vax with updated booster,,,,
case,202236,12-17,vaccinated,4624,6668382,7327,4291484.65
case,202236,12-17,vax with updated booster,,,7327,4291484.65
case,202236,18-29,vaccinated,15200,15082378,15331,7939727
case,202236,18-29,vax with updated booster,,,15331,7939727
case,202236,30-49,vaccinated,27526,27356171,20569,9022221.85
case,202236,30-49,vax with updated booster,,,20569,9022221.85
case,202236,5-11,vaccinated,2044,3827344,7723,8977505
case,202236,5-11,vax with updated booster,,,,
case,202236,50-64,vaccinated,23857,22870075,11746,4363555.4
case,202236,50-64,vax with updated booster,,,11746,4363555.4
case,202236,65-79,vaccinated,19468,16945587.3,7399,1317786.05
case,202236,65-79,vax with updated booster,,,7399,1317786.05
case,202236,80+,vaccinated,8006,4928938.8,2965,558343.55
case,202236,80+,vax with updated booster,,,2965,558343.55
case,202236,all_ages,vaccinated,94057,87183150.1,58010,23201633.85
case,202236,all_ages,vax with updated booster,,,58010,23201633.85
case,202237,0.5-4,vaccinated,163,125218,6743,5423663
case,202237,0.5-4,vax with updated booster,,,,
case,202237,12-17,vaccinated,5020,6674261,6748,4286580.65
case,202237,12-17,vax with updated booster,,,6748,4286580.65
case,202237,18-29,vaccinated,13434,15093239,13576,7926233
case,202237,18-29,vax with updated booster,,,13576,7926233
case,202237,30-49,vaccinated,26104,27365818,18515,9007299.85
case,202237,30-49,vax with updated booster,,,18515,9007299.85
case,202237,5-11,vaccinated,2533,3843724,7724,8966668
case,202237,5-11,vax with updated booster,,,,
case,202237,50-64,vaccinated,23182,22875920,10770,4358027.4
case,202237,50-64,vax with updated booster,,,10770,4358027.4
case,202237,65-79,vaccinated,18813,16949365.3,6844,1317317.05
case,202237,65-79,vax with updated booster,,,6844,1317317.05
case,202237,80+,vaccinated,7638,4930168.8,2767,557970.55
case,202237,80+,vax with updated booster,,,2767,557970.55
case,202237,all_ages,vaccinated,89171,87214511.1,52472,23166847.85
case,202237,all_ages,vax with updated booster,,,52472,23166847.85
case,202238,0.5-4,vaccinated,134,134568,5768,5221322
case,202238,0.5-4,vax with updated booster,,,,
case,202238,12-17,vaccinated,4641,6480214,5746,4180074.65
case,202238,12-17,vax with updated booster,1,5214,5746,4180074.65
case,202238,18-29,vaccinated,11564,14676974,10755,7768176
case,202238,18-29,vax with updated booster,16,16866,10755,7768176
case,202238,30-49,vaccinated,24824,26706737,16459,8821043.85
case,202238,30-49,vax with updated booster,64,64645,16459,8821043.85
case,202238,5-11,vaccinated,2160,3745407,6036,8726192
case,202238,5-11,vax with updated booster,,,,
case,202238,50-64,vaccinated,22149,22455762,9876,4298084.4
case,202238,50-64,vax with updated booster,46,54635,9876,4298084.4
case,202238,65-79,vaccinated,18247,16642476.3,6346,1302606.5
case,202238,65-79,vax with updated booster,82,88476,6346,1302606.5
case,202238,80+,vaccinated,7566,4849798.8,2557,553408.5
case,202238,80+,vax with updated booster,21,16736,2557,553408.5
case,202238,all_ages,vaccinated,84350,85331748.1,45993,22743319.25
case,202238,all_ages,vax with updated booster,229,241358,45993,22743319.25
case,202239,0.5-4,vaccinated,123,157876,4626,5371662
case,202239,0.5-4,vax with updated booster,,,,
case,202239,12-17,vaccinated,2983,6653084,3435,4275485.65
case,202239,12-17,vax with updated booster,7,34274,3435,4275485.65
case,202239,18-29,vaccinated,9859,15043369,9007,7901052
case,202239,18-29,vax with updated booster,53,81864,9007,7901052
case,202239,30-49,vaccinated,21786,27120506,13940,8974255.85
case,202239,30-49,vax with updated booster,269,310546,13940,8974255.85
case,202239,5-11,vaccinated,1454,3865977,3809,8945891
case,202239,5-11,vax with updated booster,,,,
case,202239,50-64,vaccinated,20766,22600492,8743,4343697.4
case,202239,50-64,vax with updated booster,248,299817,8743,4343697.4
case,202239,65-79,vaccinated,17101,16588901.6,5948,1316403.05
case,202239,65-79,vax with updated booster,456,502397,5948,1316403.05
case,202239,80+,vaccinated,7623,4850571,2612,557175.45
case,202239,80+,vax with updated booster,118,117253,2612,557175.45
case,202239,all_ages,vaccinated,77135,86203839.6,40250,23092583.75
case,202239,all_ages,vax with updated booster,1144,1311877,40250,23092583.75
case,202240,0.5-4,vaccinated,110,178647,4086,5348970
case,202240,0.5-4,vax with updated booster,,,,
case,202240,12-17,vaccinated,2204,6624620,2658,4271125.65
case,202240,12-17,vax with updated booster,12,70174,2658,4271125.65
case,202240,18-29,vaccinated,9004,14987078,8182,7889650
case,202240,18-29,vax with updated booster,101,161303,8182,7889650
case,202240,30-49,vaccinated,19267,26895225,12863,8957500.85
case,202240,30-49,vax with updated booster,409,582529,12863,8957500.85
case,202240,5-11,vaccinated,1092,3874674,3047,8937373
case,202240,5-11,vax with updated booster,,,,
case,202240,50-64,vaccinated,19360,22312723,8509,4335564.4
case,202240,50-64,vax with updated booster,507,604304,8509,4335564.4
case,202240,65-79,vaccinated,16435,16157973,5740,1315988.05
case,202240,65-79,vax with updated booster,866,1001576,5740,1315988.05
case,202240,80+,vaccinated,7636,4741429,2654,556999.45
case,202240,80+,vax with updated booster,278,259356,2654,556999.45
case,202240,all_ages,vaccinated,71702,85094428,37948,23055702.75
case,202240,all_ages,vax with updated booster,2161,2609068,37948,23055702.75
case,202241,0.5-4,vaccinated,120,198903,3813,5327412
case,202241,0.5-4,vax with updated booster,,,,
case,202241,12-17,vaccinated,1718,6591133,2150,4266610.65
case,202241,12-17,vax with updated booster,27,111505,2150,4266610.65
case,202241,18-29,vaccinated,8479,14921083,7733,7878668
case,202241,18-29,vax with updated booster,168,250264,7733,7878668
case,202241,30-49,vaccinated,18417,26647665,12365,8940705.85
case,202241,30-49,vax with updated booster,610,876850,12365,8940705.85
case,202241,5-11,vaccinated,922,3881376,2680,8929294
case,202241,5-11,vax with updated booster,,,,
case,202241,50-64,vaccinated,18312,21972214,8256,4326976.4
case,202241,50-64,vax with updated booster,709,960109,8256,4326976.4
case,202241,65-79,vaccinated,15660,15646390,5820,1315559.05
case,202241,65-79,vax with updated booster,1273,1579894,5820,1315559.05
case,202241,80+,vaccinated,7531,4605077,2829,556859.45
case,202241,80+,vax with updated booster,470,435847,2829,556859.45
case,202241,all_ages,vaccinated,68399,83792429,37003,23018768.75
case,202241,all_ages,vax with updated booster,3230,4102964,37003,23018768.75
case,202242,0.5-4,vaccinated,154,217348,3945,5305952
case,202242,0.5-4,vax with updated booster,,,,
case,202242,12-17,vaccinated,1909,6555964,2340,4262537.65
case,202242,12-17,vax with updated booster,29,153551,2340,4262537.65
case,202242,18-29,vaccinated,8335,14849560,7702,7867221
case,202242,18-29,vax with updated booster,183,345503,7702,7867221
case,202242,30-49,vaccinated,18037,26389974,12044,8922499.85
case,202242,30-49,vax with updated booster,791,1180324,12044,8922499.85
case,202242,5-11,vaccinated,1100,3885638,2714,8921920
case,202242,5-11,vax with updated booster,,,,
case,202242,50-64,vaccinated,17674,21603418,8014,4317251.4
case,202242,50-64,vax with updated booster,989,1344313,8014,4317251.4
case,202242,65-79,vaccinated,14650,15117943,5424,1315154.05
case,202242,65-79,vax with updated booster,1662,2175037,5424,1315154.05
case,202242,80+,vaccinated,7545,4459454,2707,556674.45
case,202242,80+,vax with updated booster,673,623231,2707,556674.45
case,202242,all_ages,vaccinated,66241,82420349,35891,22978800.75
case,202242,all_ages,vax with updated booster,4298,5668408,35891,22978800.75
case,202243,0.5-4,vaccinated,188,234569,4530,5284240
case,202243,0.5-4,vax with updated booster,,,,
case,202243,12-17,vaccinated,2163,6517143,2902,4258350.65
case,202243,12-17,vax with updated booster,50,198184,2902,4258350.65
case,202243,18-29,vaccinated,8955,14772934,8565,7855860
case,202243,18-29,vax with updated booster,235,446976,8565,7855860
case,202243,30-49,vaccinated,19422,26127432,13061,8904897.85
case,202243,30-49,vax with updated booster,1036,1489228,13061,8904897.85
case,202243,5-11,vaccinated,1348,3889123,3430,8913566
case,202243,5-11,vax with updated booster,,,,
case,202243,50-64,vaccinated,18968,21211904,8709,4307676.4
case,202243,50-64,vax with updated booster,1250,1755551,8709,4307676.4
case,202243,65-79,vaccinated,15017,14580628,5844,1314786.05
case,202243,65-79,vax with updated booster,2190,2782984,5844,1314786.05
case,202243,80+,vaccinated,7490,4306524,2824,556470.45
case,202243,80+,vax with updated booster,1021,819975,2824,556470.45
case,202243,all_ages,vaccinated,69852,80999422,39003,22939690.75
case,202243,all_ages,vax with updated booster,5732,7294714,39003,22939690.75
case,202244,0.5-4,vaccinated,177,250386,4799,5264147
case,202244,0.5-4,vax with updated booster,,,,
case,202244,12-17,vaccinated,2567,6476652,3246,4254041.65
case,202244,12-17,vax with updated booster,62,244283,3246,4254041.65
case,202244,18-29,vaccinated,10596,14694366,9875,7845516
case,202244,18-29,vax with updated booster,366,552563,9875,7845516
case,202244,30-49,vaccinated,20692,25862544,14347,8887765.85
case,202244,30-49,vax with updated booster,1232,1801434,14347,8887765.85
case,202244,5-11,vaccinated,1456,3880533,3669,8905132
case,202244,5-11,vax with updated booster,4,15004,3669,8905132
case,202244,50-64,vaccinated,18974,20806456,9110,4298353.4
case,202244,50-64,vax with updated booster,1527,2181998,9110,4298353.4
case,202244,65-79,vaccinated,14357,14060646,6201,1314447.05
case,202244,65-79,vax with updated booster,2476,3375338,6201,1314447.05
case,202244,80+,vaccinated,7058,4159429,2882,556306.45
case,202244,80+,vax with updated booster,1198,1009082,2882,556306.45
case,202244,all_ages,vaccinated,71677,79583441,42415,22902388.75
case,202244,all_ages,vax with updated booster,6799,8920415,42415,22902388.75
case,202245,0.5-4,vaccinated,169,265179,4680,5244050
case,202245,0.5-4,vax with updated booster,,,,
case,202245,12-17,vaccinated,2360,6433013,2909,4249987.65
case,202245,12-17,vax with updated booster,58,295110,2909,4249987.65
case,202245,18-29,vaccinated,9810,14617105,9297,7835244
case,202245,18-29,vax with updated booster,395,654661,9297,7835244
case,202245,30-49,vaccinated,19568,25599227,13933,8872530
case,202245,30-49,vax with updated booster,1458,2111021,13933,8872530
case,202245,5-11,vaccinated,1335,3844104,3518,8896954
case,202245,5-11,vax with updated booster,15,59679,3518,8896954
case,202245,50-64,vaccinated,17819,20403319,8773,4289321.4
case,202245,50-64,vax with updated booster,1797,2607171,8773,4289321.4
case,202245,65-79,vaccinated,13388,13568806,5918,1314110.05
case,202245,65-79,vax with updated booster,2896,3936984,5918,1314110.05
case,202245,80+,vaccinated,6499,4020843,2666,556170.45
case,202245,80+,vax with updated booster,1324,1188066,2666,556170.45
case,202245,all_ages,vaccinated,67084,78209300,40587,22867375.9
case,202245,all_ages,vax with updated booster,7870,10497903,40587,22867375.9
case,202246,0.5-4,vaccinated,188,277849,4662,5224513
case,202246,0.5-4,vax with updated booster,,,,
case,202246,12-17,vaccinated,2363,6390976,2794,4246015.65
case,202246,12-17,vax with updated booster,85,344479,2794,4246015.65
case,202246,18-29,vaccinated,10242,14547468,9498,7824733
case,202246,18-29,vax with updated booster,483,747802,9498,7824733
case,202246,30-49,vaccinated,20302,25355875,14516,8858404
case,202246,30-49,vax with updated booster,1699,2397522,14516,8858404
case,202246,5-11,vaccinated,1298,3804868,3279,8889444
case,202246,5-11,vax with updated booster,24,106239,3279,8889444
case,202246,50-64,vaccinated,18520,20036881,8897,4281219.4
case,202246,50-64,vax with updated booster,2221,2996391,8897,4281219.4
case,202246,65-79,vaccinated,13615,13145570,6199,1313786.05
case,202246,65-79,vax with updated booster,3394,4420937,6199,1313786.05
case,202246,80+,vaccinated,6271,3900983,2771,556043.45
case,202246,80+,vax with updated booster,1629,1342828,2771,556043.45
case,202246,all_ages,vaccinated,68950,76986777,41881,22834185.9
case,202246,all_ages,vax with updated booster,9426,11905480,41881,22834185.9
case,202247,0.5-4,vaccinated,176,290418,5000,5208014
case,202247,0.5-4,vax with updated booster,,,,
case,202247,12-17,vaccinated,2018,6344131,2281,4242046.65
case,202247,12-17,vax with updated booster,66,399689,2281,4242046.65
case,202247,18-29,vaccinated,10307,14477888,9593,7816224
case,202247,18-29,vax with updated booster,506,841489,9593,7816224
case,202247,30-49,vaccinated,20508,25125854,14359,8845996
case,202247,30-49,vax with updated booster,1977,2670619,14359,8845996
case,202247,5-11,vaccinated,1161,3756732,3027,8882795
case,202247,5-11,vax with updated booster,34,161764,3027,8882795
case,202247,50-64,vaccinated,18689,19736137,9717,4273548.4
case,202247,50-64,vax with updated booster,2485,3319749,9717,4273548.4
